pair_id,source_sensor,reference_sensor,source_x,source_y,reference_x,reference_y,score,scale_level,representation
pair_01,TMC2,OHRC,155,155,2480,2480,0.8,2,gradient
pair_01,TMC2,OHRC,160,160,2560,2560,0.8,2,gradient
pair_01,TMC2,OHRC,165,165,2640,2640,0.8,2,gradient
pair_01,TMC2,OHRC,170,170,2720,2720,0.8,2,gradient
pair_01,TMC2,OHRC,175,175,2800,2800,0.8,2,gradient
pair_01,TMC2,OHRC,180,180,2880,2880,0.8,2,gradient
pair_01,TMC2,OHRC,185,185,2960,2960,0.8,2,gradient
pair_01,TMC2,OHRC,190,190,3040,3040,0.8,2,gradient
pair_01,TMC2,OHRC,195,195,3120,3120,0.8,2,gradient
pair_01,TMC2,OHRC,200,200,3200,3200,0.8,2,gradient
pair_01,TMC2,OHRC,205,205,3280,3280,0.8,2,gradient
pair_01,TMC2,OHRC,210,210,3360,3360,0.8,2,gradient
pair_01,TMC2,OHRC,215,215,3440,3440,0.8,2,gradient
pair_01,TMC2,OHRC,220,220,3520,3520,0.8,2,gradient
pair_01,TMC2,OHRC,225,225,3600,3600,0.8,2,gradient
pair_01,TMC2,OHRC,230,230,3680,3680,0.8,2,gradient
pair_01,TMC2,OHRC,235,235,3760,3760,0.8,2,gradient
pair_01,TMC2,OHRC,240,240,3840,3840,0.8,2,gradient
pair_01,TMC2,OHRC,245,245,3920,3920,0.8,2,gradient
pair_01,TMC2,OHRC,250,250,4000,4000,0.8,2,gradient
pair_01,TMC2,OHRC,255,255,4080,4080,0.8,2,gradient
pair_01,TMC2,OHRC,260,260,4160,4160,0.8,2,gradient
pair_01,TMC2,OHRC,265,265,4240,4240,0.8,2,gradient
pair_01,TMC2,OHRC,270,270,4320,4320,0.8,2,gradient
pair_01,TMC2,OHRC,275,275,4400,4400,0.8,2,gradient
pair_01,TMC2,OHRC,280,280,4480,4480,0.8,2,gradient
pair_01,TMC2,OHRC,285,285,4560,4560,0.8,2,gradient
pair_01,TMC2,OHRC,290,290,4640,4640,0.8,2,gradient
pair_01,TMC2,OHRC,295,295,4720,4720,0.8,2,gradient
pair_01,TMC2,OHRC,300,300,4800,4800,0.8,2,gradient
pair_01,TMC2,OHRC,305,305,4880,4880,0.8,2,gradient
pair_01,TMC2,OHRC,310,310,4960,4960,0.8,2,gradient
pair_01,TMC2,OHRC,315,315,5040,5040,0.8,2,gradient
pair_01,TMC2,OHRC,320,320,5120,5120,0.8,2,gradient
pair_01,TMC2,OHRC,325,325,5200,5200,0.8,2,gradient
pair_01,TMC2,OHRC,330,330,5280,5280,0.8,2,gradient
pair_01,TMC2,OHRC,335,335,5360,5360,0.8,2,gradient
pair_01,TMC2,OHRC,340,340,5440,5440,0.8,2,gradient
pair_01,TMC2,OHRC,345,345,5520,5520,0.8,2,gradient
pair_01,TMC2,OHRC,350,350,5600,5600,0.8,2,gradient
pair_01,TMC2,OHRC,355,355,5680,5680,0.8,2,gradient
pair_01,TMC2,OHRC,360,360,5760,5760,0.8,2,gradient
pair_01,TMC2,OHRC,365,365,5840,5840,0.8,2,gradient
pair_01,TMC2,OHRC,370,370,5920,5920,0.8,2,gradient
pair_01,TMC2,OHRC,375,375,6000,6000,0.8,2,gradient
pair_01,TMC2,OHRC,380,380,6080,6080,0.8,2,gradient
pair_01,TMC2,OHRC,385,385,6160,6160,0.8,2,gradient
pair_01,TMC2,OHRC,390,390,6240,6240,0.8,2,gradient
pair_01,TMC2,OHRC,395,395,6320,6320,0.8,2,gradient
pair_01,TMC2,OHRC,400,400,6400,6400,0.8,2,gradient
pair_01,TMC2,OHRC,405,405,6480,6480,0.8,2,gradient
pair_01,TMC2,OHRC,410,410,6560,6560,0.8,2,gradient
pair_01,TMC2,OHRC,415,415,6640,6640,0.8,2,gradient
pair_01,TMC2,OHRC,420,420,6720,6720,0.8,2,gradient
pair_01,TMC2,OHRC,425,425,6800,6800,0.8,2,gradient
pair_01,TMC2,OHRC,430,430,6880,6880,0.8,2,gradient
pair_01,TMC2,OHRC,435,435,6960,6960,0.8,2,gradient
pair_01,TMC2,OHRC,440,440,7040,7040,0.8,2,gradient
pair_01,TMC2,OHRC,445,445,7120,7120,0.8,2,gradient
pair_01,TMC2,OHRC,450,450,7200,7200,0.8,2,gradient
pair_01,TMC2,OHRC,455,455,7280,7280,0.8,2,gradient
pair_01,TMC2,OHRC,460,460,7360,7360,0.8,2,gradient
pair_01,TMC2,OHRC,465,465,7440,7440,0.8,2,gradient
pair_01,TMC2,OHRC,470,470,7520,7520,0.8,2,gradient
pair_01,TMC2,OHRC,475,475,7600,7600,0.8,2,gradient
pair_01,TMC2,OHRC,480,480,7680,7680,0.8,2,gradient
pair_01,TMC2,OHRC,485,485,7760,7760,0.8,2,gradient
pair_01,TMC2,OHRC,490,490,7840,7840,0.8,2,gradient
pair_01,TMC2,OHRC,495,495,7920,7920,0.8,2,gradient
pair_01,TMC2,OHRC,500,500,8000,8000,0.8,2,gradient
pair_01,TMC2,OHRC,505,505,8080,8080,0.8,2,gradient
pair_01,TMC2,OHRC,510,510,8160,8160,0.8,2,gradient
pair_01,TMC2,OHRC,515,515,8240,8240,0.8,2,gradient
pair_01,TMC2,OHRC,520,520,8320,8320,0.8,2,gradient
pair_01,TMC2,OHRC,525,525,8400,8400,0.8,2,gradient
pair_01,TMC2,OHRC,530,530,8480,8480,0.8,2,gradient
pair_01,TMC2,OHRC,535,535,8560,8560,0.8,2,gradient
pair_01,TMC2,OHRC,540,540,8640,8640,0.8,2,gradient
pair_01,TMC2,OHRC,545,545,8720,8720,0.8,2,gradient
pair_01,TMC2,OHRC,550,550,8800,8800,0.8,2,gradient
pair_01,TMC2,OHRC,555,555,8880,8880,0.8,2,gradient
pair_01,TMC2,OHRC,560,560,8960,8960,0.8,2,gradient
pair_01,TMC2,OHRC,565,565,9040,9040,0.8,2,gradient
pair_01,TMC2,OHRC,570,570,9120,9120,0.8,2,gradient
pair_01,TMC2,OHRC,575,575,9200,9200,0.8,2,gradient
pair_01,TMC2,OHRC,580,580,9280,9280,0.8,2,gradient
pair_01,TMC2,OHRC,585,585,9360,9360,0.8,2,gradient
pair_01,TMC2,OHRC,590,590,9440,9440,0.8,2,gradient
pair_01,TMC2,OHRC,595,595,9520,9520,0.8,2,gradient
pair_01,TMC2,OHRC,600,600,9600,9600,0.8,2,gradient
pair_01,TMC2,OHRC,605,605,9680,9680,0.8,2,gradient
pair_01,TMC2,OHRC,610,610,9760,9760,0.8,2,gradient
pair_01,TMC2,OHRC,615,615,9840,9840,0.8,2,gradient
pair_01,TMC2,OHRC,620,620,9920,9920,0.8,2,gradient
pair_01,TMC2,OHRC,625,625,10000,10000,0.8,2,gradient
pair_01,TMC2,OHRC,630,630,10080,10080,0.8,2,gradient
pair_01,TMC2,OHRC,635,635,10160,10160,0.8,2,gradient
pair_01,TMC2,OHRC,640,640,10240,10240,0.8,2,gradient
pair_01,TMC2,OHRC,645,645,10320,10320,0.8,2,gradient
pair_01,TMC2,OHRC,650,650,10400,10400,0.8,2,gradient
pair_01,TMC2,OHRC,655,655,10480,10480,0.8,2,gradient
pair_01,TMC2,OHRC,660,660,10560,10560,0.8,2,gradient
pair_01,TMC2,OHRC,665,665,10640,10640,0.8,2,gradient
pair_01,TMC2,OHRC,670,670,10720,10720,0.8,2,gradient
pair_01,TMC2,OHRC,675,675,10800,10800,0.8,2,gradient
pair_01,TMC2,OHRC,680,680,10880,10880,0.8,2,gradient
pair_01,TMC2,OHRC,685,685,10960,10960,0.8,2,gradient
pair_01,TMC2,OHRC,690,690,11040,11040,0.8,2,gradient
pair_01,TMC2,OHRC,695,695,11120,11120,0.8,2,gradient
pair_01,TMC2,OHRC,700,700,11200,11200,0.8,2,gradient
pair_01,TMC2,OHRC,705,705,11280,11280,0.8,2,gradient
pair_01,TMC2,OHRC,710,710,11360,11360,0.8,2,gradient
pair_01,TMC2,OHRC,715,715,11440,11440,0.8,2,gradient
pair_01,TMC2,OHRC,720,720,11520,11520,0.8,2,gradient
pair_01,TMC2,OHRC,725,725,11600,11600,0.8,2,gradient
pair_01,TMC2,OHRC,730,730,11680,11680,0.8,2,gradient
pair_01,TMC2,OHRC,735,735,11760,11760,0.8,2,gradient
pair_01,TMC2,OHRC,740,740,11840,11840,0.8,2,gradient
pair_01,TMC2,OHRC,745,745,11920,11920,0.8,2,gradient
